Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_10.0,5/5,198.44,189.9,160.3,251.4,35.69682058671332,0.031733184,0.03236052,0.02443729,0.03833387,0.005406627632168688,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_3.0,5/5,169.72,170.4,133.2,189.5,22.833681262555984,0.036797994,0.03604893,0.0324237,0.04613167,0.0055789410168803535,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_10.0,5/5,180.78,173.2,139.9,242.6,42.648294221457434,0.035453436000000005,0.0354673,0.02532856,0.04392776,0.00785194400565427,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_3.0,5/5,183.46,191.3,117.0,246.9,46.87955844501951,0.03553076,0.03212146,0.02488658,0.05249353,0.010328028885046265,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_10.0,5/5,205.96,193.1,186.3,246.9,24.908994359467826,0.03014947,0.0318098,0.02488558,0.03297818,0.0033074472262456436,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_3.0,5/5,230.7,212.9,192.6,284.3,38.50097401365321,0.027202628,0.02885916,0.02161462,0.03189915,0.004287652254762505,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_8-tile_size_128-scalar_factor_10.0,5/5,181.16,176.9,155.4,209.0,24.700263156492888,0.034415126,0.03472226,0.02940163,0.03953515,0.004639232008374876,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_8-tile_size_128-scalar_factor_3.0,5/5,218.54,217.4,177.7,266.3,34.36397823302769,0.02867337,0.02826595,0.02307545,0.03456968,0.004463399511790311,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_10.0,5/5,147.3,126.9,122.4,186.4,31.328182200695913,0.086317284,0.09682376,0.06591391,0.1004307,0.017004761257989772,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,195.54,195.8,135.1,246.4,45.8496237716298,0.065925632,0.06275375,0.04986204,0.09092254,0.016733725764562113,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_10.0,5/5,186.92000000000002,187.4,155.0,220.1,30.25585893674149,0.067161808,0.06555803,0.0558345,0.07929532,0.01097683864144272,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,184.54,182.3,152.0,231.6,29.297150032042364,0.067849132,0.06741758,0.05305906,0.08086339,0.010031529504450952,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:53:11,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_10.0,5/5,183.8,180.0,156.8,213.3,22.049829931316932,0.067634108,0.0682845,0.05759928,0.07838784,0.008084668105551395,,,,,
