Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,153.9,162.3,123.5,180.5,25.38769386927454,0.08170938,0.07572611,0.06808397,0.09952699,0.014125388934146202,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,159.0,150.2,117.1,204.4,42.03682909069142,0.081751214,0.0818131,0.06012948,0.1049691,0.021223480271762216,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,161.28,160.0,127.0,208.1,34.12252921458197,0.07892856,0.07681728,0.05904683,0.09679325,0.016264620944371866,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_8-tile_size_256-scalar_factor_3.0,5/5,187.38,168.3,119.7,307.9,77.06294180733045,0.073896642,0.07299947,0.03991088,0.1026163,0.026252681590998847,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-group_size_32,5/5,156.9,149.6,132.9,200.4,25.497352803771612,0.034067087999999995,0.03507201,0.02619285,0.03947853,0.0048374459177152555,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-group_size_32,5/5,140.4,144.3,123.0,160.8,15.69060228289533,0.037760608,0.03636263,0.03264169,0.04266875,0.004229124808695056,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-group_size_32,5/5,143.5,150.8,107.3,159.2,20.701207694238516,0.03732675,0.03479483,0.03297249,0.04892145,0.006553313542247158,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-group_size_32,5/5,154.88,151.9,87.3,204.1,43.93850247789517,0.036867948,0.03455177,0.02570936,0.06009665,0.013559965909769833,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-group_size_32,5/5,170.07999999999998,156.2,120.9,235.7,42.78980018649304,0.032381944,0.03360075,0.02226776,0.04340418,0.0077692696522665495,,,,,
d9e4ec5fab71d34365befd8127f86c5a676a6ae1,2026-08-29 05:09:18,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-group_size_32,5/5,165.22,156.4,144.3,192.2,22.49082034964487,0.032223822,0.03354469,0.02730688,0.03637271,0.004236566917383697,,,,,
