Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_10.0,5/5,409.14,450.5,241.9,492.0,99.32498678580329,0.016042228,0.01363827,0.01248666,0.0253984,0.005337109702748297,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_3.0,5/5,419.12,422.7,308.9,561.8,111.37915873268211,0.015529546,0.01453462,0.01093694,0.01988858,0.00413816994093766,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_10.0,5/5,338.42,306.0,248.2,490.8,96.88576778866957,0.019241074,0.02008138,0.0125175,0.02475852,0.004830568781932413,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_3.0,5/5,321.84,295.2,235.4,474.1,99.82165596702953,0.020464676,0.02081407,0.01296008,0.02610436,0.005644884710224824,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_10.0,5/5,447.48,434.2,254.6,667.7,146.7377490627412,0.015077774,0.01415058,0.00920193,0.02412837,0.005476735549241902,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_3.0,5/5,457.42,480.8,243.0,767.3,205.48487048928928,0.0157892966,0.01277939,0.008007163,0.02528114,0.006954596068157216,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_10.0,5/5,338.78,271.5,247.7,537.9,122.8155201918715,0.03953516,0.045258,0.02284346,0.0496072,0.011447299353976466,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,348.36,243.9,220.0,618.4,172.3414430715955,0.041454086,0.05037325,0.01986957,0.05585099,0.015999052620060978,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_10.0,5/5,674.9,281.8,268.5,1958.0,730.6157984878236,0.032316625,0.04361313,0.006275885,0.04577303,0.0179588553103288,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,350.7,284.2,181.1,558.7,151.80186098991015,0.040918868,0.04323792,0.02199549,0.06786288,0.01795997540390493,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_10.0,5/5,423.04,325.5,231.7,680.6,216.34420029203463,0.035654476,0.03775556,0.01805439,0.05304188,0.016456959004194242,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,371.16,349.2,291.3,444.0,67.79581845512303,0.034007796,0.03519142,0.02767605,0.04217926,0.0062043858242722145,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_1-tile_size_4096-scalar_factor_10.0,5/5,350.98,313.7,225.4,561.9,126.94032850122926,0.076525848,0.07834761,0.04373919,0.1090309,0.02358306785541949,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_1-tile_size_4096-scalar_factor_3.0,5/5,382.03999999999996,339.2,208.3,567.9,168.21405410963732,0.075710584,0.07244685,0.04327538,0.1179995,0.03318460278409898,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_2-tile_size_2048-scalar_factor_10.0,5/5,387.36,392.4,247.6,541.2,119.05071608352469,0.068744242,0.06263188,0.04540961,0.09923843,0.022053108892064854,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_2-tile_size_2048-scalar_factor_3.0,5/5,348.06,350.5,243.1,465.1,84.31908443525701,0.074116226,0.07011318,0.05283741,0.1011121,0.01847957467771458,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_4-tile_size_1024-scalar_factor_10.0,5/5,397.2,370.1,298.0,561.0,106.47142809223514,0.06518912,0.06640996,0.04380475,0.08248087,0.015702866551376853,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_4-tile_size_1024-scalar_factor_3.0,5/5,356.36,262.5,254.9,515.7,133.20378373004277,0.07646133599999999,0.09362179,0.04765284,0.09641844,0.02510302136175504,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_1-tile_size_8192-scalar_factor_10.0,5/5,345.78,306.7,285.1,506.9,91.3154806152823,0.1484127,0.160252,0.0969653,0.172399,0.029825243404622868,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_1-tile_size_8192-scalar_factor_3.0,5/5,364.24,304.7,293.9,536.6,102.91658272601167,0.142161104,0.1613377,0.09159742,0.1672389,0.03224741848889737,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_2-tile_size_4096-scalar_factor_10.0,5/5,308.0,296.9,238.3,423.1,69.83151151163779,0.16548186,0.1655741,0.116178,0.2062368,0.03302313758924188,,,,,
e216c2fb6902d374b508fef6b3f41e0ba4936257,2026-07-13 22:01:25,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_2-tile_size_4096-scalar_factor_3.0,5/5,388.52,316.4,263.5,558.4,144.01231544558956,0.14040988,0.1553653,0.08801662,0.1865663,0.047171449311688526,,,,,
