Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev)
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_128-K_128-num_aie_columns_1-tile_size_input_32-tile_size_output_128,5/5,0.09829473,0.1050485,0.06008185,0.1255195,0.025033076663676403,0.096782528,0.1034324,0.05915752,0.1235885,0.024647973894941548,,,,,
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_False-c_col_maj_False-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.35908032,0.4090342,0.1254457,0.4819947,0.1448898347701867,15.32076,17.45212,5.35235,20.56511,6.18196693921522,787.42,540.7,458.9,1763.2,553.1132406659599
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_True-c_col_maj_True-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.45511206,0.4711937,0.3519225,0.5774135,0.10051693249106342,19.418116,20.10427,15.01536,24.63631,4.288723381244121,506.06,469.4,383.1,628.5,114.19922504115341
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-K_2048-N_2048-num_aie_columns_1-b_col_maj_False-c_col_maj_False-m_64-k_64-n_64-trace_size_0-partition_N_1,5/5,0.30566516,0.3085196,0.2918996,0.310881,0.007763708970137932,208.66742,210.6161,199.2701,212.2281,5.300041885872217,82375.28,81569.6,80950.0,86214.0,2162.83949288892
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-K_2048-N_2048-num_aie_columns_2-b_col_maj_True-c_col_maj_False-m_64-k_64-n_64-trace_size_0-partition_N_1,5/5,1.041479,1.054948,1.005001,1.062307,0.025424370759175117,710.9830000000001,720.1776,686.0805,725.2017,17.35642462130376,24175.22,23855.0,23689.8,25040.6,598.0640032638639
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-K_8192-num_aie_columns_1-tile_size_input_1-tile_size_output_2048,5/5,3.6202883999999997,3.706445,3.378895,3.902141,0.22501793009847015,3.61808,3.704184,3.376834,3.89976,0.22488049789943995,,,,,
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-K_8192-num_aie_columns_2-tile_size_input_1-tile_size_output_1024,5/5,5.8814632,5.705182,5.013139,7.30276,0.958171775766068,5.8778754,5.701702,5.010081,7.298305,0.9575871492372381,,,,,
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-K_8192-num_aie_columns_4-tile_size_input_1-tile_size_output_512,5/5,10.5772382,8.511709,8.481051,14.04382,2.8642289376892864,10.570786,8.506517,8.475878,14.03525,2.8624810294750427,,,,,
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-N_64-aie_columns_1-channels_1-m_64-n_64-s_8,5/5,1.0112983,1.039042,0.7004731,1.381949,0.2722361278802467,,,,,,550.18,504.6,379.4,748.5,150.05221424557521
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,M_2048-N_64-aie_columns_1-channels_2-m_64-n_64-s_8,5/5,1.36365038,1.453614,0.6255629,1.998635,0.5568221844244102,,,,,,457.8,360.7,262.3,838.1,235.60880713589634
