Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,348.88,279.0,252.4,513.2,114.04896755341542,0.038029932,0.04403922,0.02394225,0.04867595,0.01084815229266118,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,306.26,281.1,225.6,414.9,86.56184494336982,0.042698764,0.04371103,0.02961463,0.05446688,0.011496300572552895,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,450.0,508.3,230.1,637.9,169.97264485793,0.031513178,0.02417394,0.01926294,0.05339312,0.014329313281934345,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-group_size_32,5/5,440.2,359.3,269.6,718.2,191.2684631610763,0.013682578800000001,0.0146076,0.007307157,0.0194632,0.005198670246369037,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-group_size_32,5/5,433.14,477.2,228.1,620.3,170.01139079485233,0.0140617604,0.01099732,0.008460068,0.02300251,0.0063363939918982945,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-group_size_32,5/5,347.98,346.6,268.0,461.1,78.54808718231146,0.015687126,0.01514347,0.01138057,0.01957968,0.0034006292750504282,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-group_size_32,5/5,512.06,578.5,326.9,604.3,115.67155225032644,0.0108012582,0.009071157,0.008684198,0.01605163,0.00309153397487448,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-group_size_32,5/5,490.92,534.6,224.3,629.5,164.6187929733419,0.0123379026,0.009817512,0.008336325,0.02339817,0.006314708503566717,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-group_size_32,5/5,819.42,509.0,348.0,2091.6,719.3319484076875,0.0093060284,0.01031027,0.002509082,0.01508029,0.004578113743123121,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/elementwise_add/test.py::test_elementwise_add,input_length_2048-num_aie_columns_1-tile_size_2048,5/5,697.66,452.7,233.8,1862.3,668.4289812687657,0.0291139926,0.02714254,0.006598183,0.05256449,0.017798489413589396,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/elementwise_add/test.py::test_elementwise_add,input_length_2048-num_aie_columns_2-tile_size_1024,5/5,417.9,409.7,295.8,610.9,132.63888947062244,0.03177289,0.02999048,0.020113,0.04153934,0.009533974228332066,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/elementwise_add/test.py::test_elementwise_add,input_length_2048-num_aie_columns_4-tile_size_512,5/5,383.78,324.4,230.4,542.6,137.54552700833278,0.035571649999999996,0.03788383,0.02264693,0.05333727,0.012715309273079047,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/elementwise_mul/test.py::test_elementwise_mul,input_length_2048-num_aie_columns_1-tile_size_2048,5/5,454.16,481.2,245.2,653.9,155.40486800612135,0.030274162,0.0255343,0.0187933,0.05010581,0.012285588488396476,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/elementwise_mul/test.py::test_elementwise_mul,input_length_2048-num_aie_columns_2-tile_size_1024,5/5,484.12,519.3,298.3,601.9,119.9328645534659,0.027018663999999998,0.02366235,0.02041396,0.04119067,0.00840846557090115,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/elementwise_mul/test.py::test_elementwise_mul,input_length_2048-num_aie_columns_4-tile_size_512,5/5,493.76,482.5,331.3,717.3,165.4602610900877,0.027237472,0.0254691,0.01713189,0.03708667,0.00893908880986032,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gelu/test.py::test_gelu,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048,5/5,411.88,398.4,310.3,570.5,101.7247118452542,0.020797686,0.02056178,0.01435825,0.0263983,0.004684877205080193,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gelu/test.py::test_gelu,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024,5/5,518.8199999999999,504.4,446.0,640.4,72.83098241819891,0.01601704,0.01624211,0.01279252,0.01836858,0.0020335602216924875,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gelu/test.py::test_gelu,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024,5/5,374.26,361.8,251.0,524.2,115.31633882499047,0.023642448,0.02264234,0.01562867,0.03264239,0.0072378391932447625,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gelu/test.py::test_gelu,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512,5/5,678.0,505.9,333.5,1365.7,427.5573061005975,0.0157520348,0.01619321,0.005998534,0.02456468,0.0077894545771655405,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gelu/test.py::test_gelu,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512,5/5,314.78000000000003,278.5,164.0,600.7,168.08223285047117,0.031155926,0.02941229,0.01363767,0.04995762,0.01319046703127414,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gelu/test.py::test_gelu,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256,5/5,559.52,593.1,392.9,648.6,106.60036116261521,0.015157366,0.01381322,0.01262931,0.02084749,0.0034215105516029027,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemm/test.py::test_gemm,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_False-c_col_maj_False-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,813.0,602.9,456.7,1846.8,584.2383075423932,0.35072662,0.3668832,0.1197692,0.4843421,0.14333101401208323,14.9643344,15.65368,5.110152,20.66526,6.115456190043944
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemm/test.py::test_gemm,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_True-c_col_maj_True-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,606.14,639.3,355.3,846.8,183.9648145706129,0.39754338,0.3459665,0.2611869,0.6225309,0.1395572765309355,16.961852,14.76124,11.14397,26.56132,5.954444772904523
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemm/test.py::test_gemm,M_2048-K_2048-N_2048-num_aie_columns_1-b_col_maj_False-c_col_maj_False-m_64-k_64-n_64-trace_size_0-partition_N_1,5/5,82234.64,82290.9,81257.8,83104.6,694.2820701991387,0.30604214,0.3058156,0.3028212,0.3097036,0.0025882191228719462,208.92476,208.7701,206.7259,211.4243,1.7668903667177498
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemm/test.py::test_gemm,M_2048-K_2048-N_2048-num_aie_columns_2-b_col_maj_True-c_col_maj_False-m_64-k_64-n_64-trace_size_0-partition_N_1,5/5,25069.8,24884.8,24324.9,25712.1,561.4283525081352,1.0042335,1.011291,0.9787527,1.034572,0.022538790215315473,685.55672,690.3746,668.1618,706.2679,15.386513247548997
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemm/test.py::test_gemm,M_384-K_1536-N_1792-num_aie_columns_4-b_col_maj_True-c_col_maj_False-m_32-k_48-n_64-trace_size_0-partition_N_1,5/5,4243.26,4427.9,2198.5,5204.6,1194.897783494471,2.0969151999999998,1.820492,1.548822,3.666553,0.8861235859577941,549.90324,477.413,406.1691,961.5312,232.38052525119872
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemm/test.py::test_gemm,M_64-K_512-N_256-num_aie_columns_4-b_col_maj_True-c_col_maj_False-m_16-k_64-n_64-trace_size_0-partition_N_4,5/5,5986.3,5853.1,3999.9,8208.8,1501.9473775735285,0.21920678,0.2127391,0.1516887,0.3113014,0.05785799562356961,11.8140924,11.46552,8.175222,16.77751,3.1182429256552155
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_128-K_128-num_aie_columns_1-tile_size_input_32-tile_size_output_128,5/5,,,,,,0.09864052400000001,0.1017846,0.06218166,0.1361206,0.033712316504448045,0.097122996,0.1002187,0.06122502,0.1340265,0.033193685847183046
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_2048-K_8192-num_aie_columns_1-tile_size_input_1-tile_size_output_2048,5/5,,,,,,3.5997936,3.501026,3.335725,3.87403,0.22449034089532666,3.5975978,3.498891,3.33369,3.871667,0.224353565422304
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_2048-K_8192-num_aie_columns_2-tile_size_input_1-tile_size_output_1024,5/5,,,,,,6.2959764,6.663324,5.091832,7.556432,0.9985504993122781,6.2921362,6.65926,5.088727,7.551823,0.9979412174119776
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_2048-K_8192-num_aie_columns_4-tile_size_input_1-tile_size_output_512,5/5,,,,,,9.0368726,8.481291,7.720612,11.21872,1.4958300100672532,9.0313612,8.476118,7.715903,11.21188,1.4949188059271652
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_8192-K_2048-num_aie_columns_1-tile_size_input_4-tile_size_output_1024,5/5,,,,,,3.651667,3.603073,3.487462,3.83901,0.15593193425337862,3.6494396,3.600875,3.485335,3.836668,0.15583659141164505
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_8192-K_2048-num_aie_columns_2-tile_size_input_4-tile_size_output_1024,5/5,,,,,,6.3671882,7.079945,4.838513,7.524957,1.3418855616106764,6.3633044,7.075626,4.835562,7.520367,1.3410666289936157
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/gemv/test.py::test_gemv,M_8192-K_2048-num_aie_columns_4-tile_size_input_4-tile_size_output_1024,5/5,,,,,,9.6733058,9.574113,7.193424,13.51205,2.425697419978469,9.667406399999999,9.568273,7.189036,13.50381,2.424218751965528
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/layer_norm/test.py::test_layer_norm,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048,5/5,468.68,497.1,286.0,613.6,123.73575473564625,0.018711802,0.01648041,0.01335174,0.02864356,0.005986233820326432,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/layer_norm/test.py::test_layer_norm,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024,5/5,1058.92,580.5,269.8,2102.4,859.5393865321124,0.0140521164,0.01411195,0.003896496,0.03035783,0.010894977542413146,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/layer_norm/test.py::test_layer_norm,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024,5/5,417.1,520.7,228.4,563.8,168.67419778970344,0.023176984,0.01573179,0.01452894,0.03586219,0.010951292360741265,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/layer_norm/test.py::test_layer_norm,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512,5/5,336.1,333.7,265.1,440.6,72.11632963483375,0.025251544,0.02454554,0.01859376,0.03089712,0.005174464302440398,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/layer_norm/test.py::test_layer_norm,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512,5/5,468.6,459.3,403.6,546.3,53.54549467508912,0.01766255,0.01783727,0.01499468,0.02029838,0.001980139649140939,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/layer_norm/test.py::test_layer_norm,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256,5/5,513.54,537.7,300.5,722.9,162.9778297806177,0.017492446000000002,0.01523637,0.01133199,0.02726168,0.006275643110975161,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/mem_copy/test.py::test_mem_copy,input_length_2048-num_cores_1-num_channels_1-bypass_False-tile_size_2048,5/5,277.36,270.0,257.8,299.8,17.047961755001676,0.029625257999999998,0.03034321,0.02732461,0.03177472,0.0017974953288590208,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/mem_copy/test.py::test_mem_copy,input_length_2048-num_cores_2-num_channels_1-bypass_False-tile_size_1024,5/5,407.14,462.4,261.2,546.5,123.36076361631359,0.021866109999999998,0.01771588,0.01498892,0.03136882,0.007272523393864058,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/mem_copy/test.py::test_mem_copy,input_length_2048-num_cores_2-num_channels_2-bypass_False-tile_size_1024,5/5,449.58,536.6,296.9,560.0,139.62632989518846,0.019952948,0.01526712,0.01462823,0.02759197,0.006972766461152273,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/mem_copy/test.py::test_mem_copy,input_length_2048-num_cores_4-num_channels_1-bypass_False-tile_size_512,5/5,366.76,275.1,179.8,600.5,176.96285768488255,0.027013374,0.02977859,0.01364221,0.04554958,0.01278330282467837,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/mem_copy/test.py::test_mem_copy,input_length_2048-num_cores_4-num_channels_2-bypass_False-tile_size_512,5/5,492.16,493.6,348.0,640.1,103.56453543564032,0.017283991999999998,0.0165965,0.01279712,0.02354192,0.0038925912938452714,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/mem_copy/test.py::test_mem_copy,input_length_2048-num_cores_8-num_channels_2-bypass_False-tile_size_256,5/5,407.94,411.3,289.8,514.1,91.24402994168989,0.020963244000000002,0.01991574,0.01593353,0.02826338,0.0049996713716933434,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/relu/test.py::test_relu,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048,5/5,394.4,417.3,257.4,493.8,87.23333651764102,0.021794914000000002,0.01962983,0.01659112,0.03182546,0.005893037901178813,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/relu/test.py::test_relu,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024,5/5,394.52000000000004,417.8,262.9,538.7,117.59720234767494,0.022416862,0.01960817,0.01520718,0.03116203,0.007020216176526902,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/relu/test.py::test_relu,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024,5/5,484.88,454.2,295.0,799.0,200.99295261277197,0.019136952,0.01803595,0.01025279,0.02777373,0.007065932317084561,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/relu/test.py::test_relu,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512,5/5,324.48,287.3,248.9,489.3,95.69802505799167,0.026675584,0.02851474,0.01674331,0.03290779,0.00615089519529312,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/relu/test.py::test_relu,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512,5/5,537.4,499.4,292.5,884.5,215.8514651328547,0.017248883399999998,0.0164027,0.009262117,0.02800301,0.006791585861010504,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/relu/test.py::test_relu,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256,5/5,473.16,503.0,336.0,553.2,89.20141815016173,0.017904096,0.01628738,0.01480839,0.02438378,0.003945754102681768,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-weighted_False,5/5,417.78000000000003,423.6,264.5,546.6,102.7211857408198,0.020770668,0.01933914,0.01498728,0.03096603,0.00607817659417444,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-weighted_True,5/5,290.98,288.2,200.3,422.0,83.29103793326146,0.044883062,0.0426412,0.02911683,0.06135533,0.011964264589508626,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-weighted_False,5/5,406.82,404.2,272.7,540.9,110.19172836470077,0.021434198,0.0202687,0.01514549,0.0300367,0.006092836668290887,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-weighted_True,5/5,391.03999999999996,286.9,192.2,640.9,209.78241823374998,0.032909038,0.0356869,0.01597691,0.05327756,0.01615036491517204,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-weighted_False,5/5,333.74,296.6,191.8,493.8,126.47089783819833,0.027653584000000002,0.02761801,0.01658907,0.04270203,0.010605229564699673,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-weighted_True,5/5,394.12,460.3,184.6,523.9,151.00099999668876,0.030570444000000002,0.02224419,0.01954739,0.05548121,0.015425122461843861,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-weighted_False,5/5,408.32,449.7,239.8,531.8,134.4869398863696,0.022242024,0.01821797,0.01540574,0.03415739,0.008383133938121233,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-weighted_True,5/5,780.64,593.7,215.1,1997.1,698.7673704459875,0.0194396364,0.01552414,0.004614682,0.04284439,0.014180851809079553,,,,,
c9bc0365f2d406dacfe18c8bf99a3f22773763ef,2026-07-09 21:31:21,iron/operators/rms_norm/test.py::test_rms_norm,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-weighted_False,5/5,441.66,498.7,168.1,536.7,154.49656306856798,0.022619656000000002,0.0164278,0.01526254,0.04873116,0.014613523180926633,,,,,
